id,name,characterId
23000255,"FAST FORWARD",16000000
23000288,"CLAY PIGEONS",16000000
23000273,"SPEEDLOADER",16000001
23000319,"SILVER BULLET",16000001
23000272,"T-BONE MISSILE",16000002
23000310,"STOMPER",16000002
23000245,"ROCKET LACES",16000003
23000316,"ROCKET FUEL",16000003
23000246,"MULTIBALL LAUNCHER",16000004
23000409,"BOUNCY CASTLE",16000004
23000247,"POPPING PINCUSHION",16000005
23000406,"LIFE PLANT",16000005
23000250,"STICKY SYRUP MIXER",16000006
23000293,"HERBAL TONIC",16000006
23000251,"SPARK PLUG",16000007
23000295,"RECOIL SPRING",16000007
23000249,"BEAR PAWS",16000008
23000314,"FAUX FUR",16000008
23000258,"FIDGET SPINNER",16000009
23000294,"SATCHEL CHARGE",16000009
23000264,"SUPLEX SUPPLEMENT",16000010
23000292,"ASTEROID BELT",16000010
23000265,"COMBO SPINNER",16000011
23000290,"CREATURE OF THE NIGHT",16000011
23000243,"INSTAPOISON",16000012
23000286,"SLOWING TOXIN",16000012
23000267,"TUNING FORK",16000013
23000350,"PROTECTIVE TUNES",16000013
23000263,"SUPER TOTEM",16000014
23000289,"TRIPWIRE",16000014
23000268,"AUTO AIMER",16000015
23000291,"HOMEMADE RECIPE",16000015
23000257,"PULSE MODULATOR",16000016
23000404,"SCRAPSUCKER",16000016
23000266,"PSYCHIC ENHANCER",16000017
23000356,"SUPPORT FROM BEYOND",16000017
23000260,"RECOILING ROTATOR",16000018
23000313,"TAR BARREL",16000018
23000248,"SALTY BARREL",16000019
23000287,"TRUSTY SPYGLASS",16000019
23000261,"ACTIVE NOISE CANCELING",16000020
23000351,"IRRESISTIBLE ATTRACTION",16000020
23000252,"LAMP BLOWOUT",16000021
23000352,"VENGEFUL SPIRITS",16000021
23000253,"MINE MANIA",16000022
23000355,"LAST HURRAH",16000022
23000276,"CLONE PROJECTOR",16000023
23000408,"LOLLIPOP DROP",16000023
23000242,"GROW LIGHT",16000024
23000348,"UNFRIENDLY BUSHES",16000024
23000262,"HEAT EJECTOR",16000025
23000317,"FLYING HOOK",16000025
23000275,"VITAMIN BOOSTER",16000026
23000458,"EXTRA STICKY",16000026
23000259,"CHEAT CARTRIDGE",16000027
23000318,"EXTRA CREDITS",16000027
23000270,"SLEEP STIMULATOR",16000028
23000405,"SWEET DREAMS",16000028
23000271,"HONEY MOLASSES",16000029
23000312,"RATTLED HIVE",16000029
23000274,"FRIENDZONER",16000030
23000459,"ACID SPRAY",16000030
23000269,"SERVICE BELL",16000031
23000349,"PORTER REINFORCEMENTS",16000031
23000254,"PHASE SHIFTER",16000032
23000311,"SNEAKY SNEAKERS",16000032
23000256,"PNEUMATIC BOOSTER",16000034
23000486,"REBUILD",16000034
23000277,"SPRING EJECTOR",16000035
23000407,"TWISTER",16000035
23000278,"WARPIN' TIME",16000036
23000353,"RETURN TO SENDER",16000036
23000244,"GARDEN MULCHER",16000037
23000315,"TRANSPLANT",16000037
23000285,"POWER SURGE",16000038
23000485,"POWER SHIELD",16000038
23000302,"NA-AH!",16000039
23000457,"GOTCHA!",16000039
23000309,"FIRE STARTERS",16000040
23000488,"DANCING FLAMES",16000040
23000326,"ICE BLOCK",16000041
23000400,"CRYO SYRUP",16000041
23000333,"SHOT IN THE ARM",16000042
23000461,"BOOSTER SHOTS",16000042
23000340,"LET'S FLY",16000043
23000403,"HARDCORE",16000043
23000347,"TAKE COVER",16000044
23000402,"AIR SUPPORT",16000044
23000364,"SPEED ZONE",16000045
23000401,"BREAKTHROUGH",16000045
23000371,"NEST EGG",16000046
23000463,"REVERSE POLARITY",16000046
23000378,"WINDUP",16000047
23000462,"RESIDUE",16000047
23000385,"WATCHTOWER",16000048
23000460,"RADIO CHECK",16000048
23000392,"RESERVE BUOY",16000049
23000490,"X-RAY-SHADES",16000049
23000399,"PIGGY BANK",16000050
23000487,"COIN SHOWER",16000050
23000416,"CHILL PILL",16000051
23000465,"ROTTEN BANANA",16000051
23000423,"JOLTING VOLTS",16000052
23000489,"TOOLBOX",16000052
23000433,"FREEZE FRAME",16000053
23000456,"STUNT DOUBLE",16000053
23000440,"CORN-FU",16000054
23000464,"ROUNDHOUSE KICK",16000054
23000454,"GOTTA GO!",16000056
23000455,"MOTHERLY LOVE",16000056
23000472,"DROP THE BASS",16000057
23000473,"BACKSTAGE PASS",16000057
23000480,"SUGAR RUSH",16000058
23000481,"CRASH TEST",16000058
23000497,"DORMANT STAR",16000059
23000498,"PHAT SPLATTER",16000059
23000505,"MAGNETIC FIELD",16000060
23000506,"PULSE REPELLENT",16000060
23000513,"KOOKY POPPER",16000061
23000514,"SOUL SWITCHER",16000061
23000521,"UTILITY BELT",16000062
23000522,"SLO-MO REPLAY",16000062
23000529,"SPICY DICE",16000063
23000530,"CANDY BEANS",16000063
23000537,"WALKING CANE",16000064
23000538,"GRAND PIANO",16000064
23000545,"CARAMELIZE",16000065
23000546,"COOKIE CRUMBS",16000065
23000555,"OUT OF LINE",16000066
23000556,"HACKS!",16000066
23000563,"SPELLBOUND",16000067
23000564,"DIVE",16000067
23000571,"DISENGAGE!",16000068
23000572,"FINISH THEM!",16000068
23000579,"WATER BALLOONS",16000069
23000580,"BARRICADE",16000069
23000587,"REPLANTING",16000070
23000588,"POISON MUSHROOM",16000070
23000595,"DOUBLE SAUSAGE",16000071
23000596,"EXTRA MUSTARD",16000071
23000603,"OVERCOOKED",16000072
23000604,"MADE WITH LOVE",16000072
23000611,"REROUTING",16000073
23000612,"GHOST TRAIN",16000073
23000625,"SPIDERS",16000074
23000626,"PERSONAL SPACE",16000074
23000639,"CLIPPING SCREAM",16000075
23000640,"PRESTO",16000075
23000648,"CARDBOARD BOX",16000076
23000649,"CHEESEBURGER",16000076
23000661,"ORDER: SWAP",16000077
23000662,"ORDER: FALL BACK",16000077
23000669,"PERFECT PITCH",16000078
23000670,"INTERLUDE",16000078
23000677,"STINGING FLIGHT",16000079
23000678,"MASTER FLETCHER",16000079
23000736,"UPPER CUT",16000080
23000737,"LAST STAND",16000080
23000754,"VANISH",16000081
23000755,"REPOT",16000081
23000766,"FRIENDSHIP IS GREAT",16000082
23000767,"HEALTHY ADDITIVES",16000082
23000774,"SNAPPY SHOOTING",16000083
23000775,"TACTICAL RETREAT",16000083
23000806,"DODGY DIGGING",16000084
23000807,"RAT RACE",16000084
23000817,"DASHI DASH",16000085
23000818,"HOSOMAKI HEALING",16000085
23000834,"LONGARMS",16000086
23000835,"JUMP SCARE",16000086
23000850,"VOODOO CHILE",16000087
23000851,"ELEMENTALIST",16000087
23000877,"MANSIONS OF MEEPLE",16000089
23000878,"RAGEQUIT",16000089
23000885,"REGULATE",16000090
23000886,"ALL EYEZ ON ME",16000090
23000907,"HIT THE LIGHTS",16000091
23000908,"GRIM AND FROSTBITTEN",16000091
23000917,"BACK TO THE FINXTURE",16000092
23000918,"NO ESCAPE",16000092
23000931,"WEEKEND WARRIOR",16000093
23000932,"TIME FOR A SLOW SONG",16000093
23000940,"GRACIOUS HOST",16000094
23000941,"HENSOJUTSU",16000094
23000991,"FEED THE GATORS",16000095
23000992,"COLD-BLOODED",16000095
23001000,"FOR THE QUEEN!",16000096
23001001,"WORKER ANTS",16000096
23001041,"WINDMILL",16000097
23001042,"CAPO-WHAT?",16000097
