id,name,characterId
23000076,"SHELL SHOCK",16000000
23000135,"BAND-AID",16000000
23000077,"SLICK BOOTS",16000001
23000138,"MAGNUM SPECIAL",16000001
23000078,"BERSERKER",16000002
23000137,"TOUGH GUY",16000002
23000079,"MORE ROCKETS!",16000003
23000150,"ROCKET NO. 4",16000003
23000080,"SUPER BOUNCY",16000004
23000156,"ROBO RETREAT",16000004
23000081,"FERTILIZE",16000005
23000151,"CURVEBALL",16000005
23000082,"MEDICAL USE",16000006
23000158,"EXTRA NOXIOUS",16000006
23000083,"ENERGIZE",16000007
23000149,"SHOCKY",16000007
23000084,"BEAR WITH ME",16000008
23000136,"HYPER BEAR",16000008
23000085,"DYNA-JUMP",16000009
23000155,"DEMOLITION",16000009
23000086,"EL FUEGO",16000010
23000140,"METEOR RUSH",16000010
23000087,"CREEPY HARVEST",16000011
23000154,"COILED SNAKE",16000011
23000088,"EXTRA TOXIC",16000012
23000143,"CARRION CROW",16000012
23000089,"DA CAPO!",16000013
23000144,"SCREECHING SOLO",16000013
23000090,"CIRCLING EAGLE",16000014
23000148,"SNARE A BEAR",16000014
23000091,"AMBUSH",16000015
23000152,"SNAPPY SNIPING",16000015
23000092,"MAMA'S HUG",16000016
23000139,"MAMA'S SQUEEZE",16000016
23000093,"BLACK PORTAL",16000017
23000160,"HEALING SHADE",16000017
23000094,"STEEL HOOPS",16000018
23000157,"ROLLING RELOAD",16000018
23000099,"HEAVY COFFERS",16000019
23000142,"MASTER BLASTER",16000019
23000104,"POWER GRAB",16000020
23000153,"SPONGE",16000020
23000109,"MAGIC PUFFS",16000021
23000159,"SPIRIT SLAP",16000021
23000114,"WELL OILED",16000022
23000161,"AUTOMA-TICK RELOAD",16000022
23000119,"SMOKE TRAILS",16000023
23000141,"INVISIHEAL",16000023
23000124,"PLANT LIFE",16000024
23000147,"THORNY GLOVES",16000024
23000129,"POWER THROW",16000025
23000145,"PROTECTIVE PIROUETTE",16000025
23000134,"HOME RUN",16000026
23000146,"BATTING STANCE",16000026
23000168,"BOOSTED BOOSTER",16000027
23000181,"PLUGGED IN",16000027
23000186,"RUDE SANDS",16000028
23000187,"HEALING WINDS",16000028
23000192,"INSTA BEALOAD",16000029
23000193,"HONEYCOMB",16000029
23000198,"BAD KARMA",16000030
23000199,"HYPE",16000030
23000204,"HANDLE WITH CARE",16000031
23000205,"REVOLVING DOOR",16000031
23000210,"SUPER CHARGED",16000032
23000211,"RUN N GUN",16000032
23000222,"COUNTER CRUSH",16000034
23000223,"HARDY HARD HAT",16000034
23000228,"BLUSTERY BLOW",16000035
23000229,"FREEZING SNOW",16000035
23000234,"AUTOFOCUS",16000036
23000235,"TEMPERED STEEL",16000036
23000240,"OVERGROWTH",16000037
23000241,"PHOTOSYNTHESIS",16000037
23000283,"TO THE MAX!",16000038
23000284,"SERVE ICE COLD",16000038
23000300,"PUSH IT",16000039
23000301,"MASS TAX",16000039
23000307,"WILD FLAMES",16000040
23000308,"SCORCHIN' SIPHON",16000040
23000324,"SUPERCOOL",16000041
23000325,"HYPOTHERMIA",16000041
23000331,"MALAISE",16000042
23000332,"INJECTION",16000042
23000338,"HARD LANDING",16000043
23000339,"FISTICUFFS",16000043
23000345,"AIR SUPERIORITY",16000044
23000346,"FIELD PROMOTION",16000044
23000362,"ZERO DRAG",16000045
23000363,"GASO-HEAL",16000045
23000369,"POSITIVE FEEDBACK",16000046
23000370,"GROUNDED",16000046
23000376,"CHAIN REACTION",16000047
23000377,"SUPER STICKY",16000047
23000383,"FOOT PATROL",16000048
23000384,"X-FACTOR",16000048
23000390,"TOUGHER TORPEDO",16000049
23000391,"EYES SHARP",16000049
23000397,"KEEP THE CHANGE",16000050
23000398,"BUSINESS RESILIENCE",16000050
23000414,"FIRST BASH",16000051
23000415,"MAD AS HECK",16000051
23000421,"FORCE FIELD",16000052
23000422,"HEAVY METAL",16000052
23000431,"IMPROVISE",16000053
23000432,"SEALED WITH A KISS",16000053
23000438,"FRESH KICKS",16000054
23000439,"DIVINE SOLES",16000054
23000452,"UNNATURAL ORDER",16000056
23000453,"HAPPY SURPRISE",16000056
23000470,"STAGE VIEW",16000057
23000471,"VOCAL WARM UP",16000057
23000478,"BLACK POWDER",16000058
23000479,"WISDOM TOOTH",16000058
23000495,"STENCIL GLUE",16000059
23000496,"INK REFILLS",16000059
23000503,"HEARTY RECOVERY",16000060
23000504,"REMOTE RECHARGE",16000060
23000511,"HEALTH BONANZA",16000061
23000512,"SPIRIT ANIMAL",16000061
23000519,"BLOCKBUSTER",16000062
23000520,"KEVLAR VEST",16000062
23000527,"SINGLE BELL'O'MANIA",16000063
23000528,"SNEAK PEEK",16000063
23000535,"FAKE INJURY",16000064
23000536,"NEW PERSPECTIVE",16000064
